Time,Event_Key,Data1,Data2
12566,1,259,888
14579,1,178,857
16642,1,108,573
18675,1,108,575
27753,1,906,939
29856,1,858,867
32856,1,864,865
37121,1,832,617
38646,1,952,617
40609,1,929,629
42224,1,908,638
43769,1,886,640
47226,1,168,629
52558,1,183,630
54183,1,188,634
59894,1,904,936
68773,1,549,213
70179,1,662,216
71095,1,569,275
76706,1,257,636
78868,1,232,643
81360,1,42,563
82745,1,26,502
84629,1,27,503
85835,1,82,644
86702,1,81,643
88038,1,368,601
89363,1,368,601
90390,1,394,519
92154,1,394,519
102837,1,25,503
104232,1,29,505
106922,1,35,632
108328,1,35,632
109394,1,72,611
111108,1,72,611
112204,1,114,601
116169,1,114,601
118413,1,130,551
120215,1,89,643
121281,1,134,680
122935,1,165,792
126104,1,168,781
126832,1,128,681
129293,1,398,516
130908,1,365,656
131426,1,358,656
133877,1,347,775
134824,1,474,712
144899,1,356,656
147550,1,379,725
155623,1,1022,594
177837,1,1021,592
181115,1,615,232
182441,1,658,234
183278,1,627,232
183916,1,639,234
195825,1,1067,575
199134,1,896,817
199782,1,896,819
203330,1,798,764
206489,1,613,233
207287,1,613,233
209200,1,631,233
210067,1,649,236
210476,1,655,240
211453,1,657,243
212021,1,615,234
213077,1,507,235
215798,1,502,234
216356,2,502,234
217662,1,490,232
218649,1,500,220
219346,1,514,232
237047,1,886,510
239937,1,889,508
246625,1,886,507
248728,1,933,583
249914,1,944,588
251220,1,948,584
252615,1,994,618
253432,1,869,712
254548,1,872,714
257538,1,848,773
259890,1,792,749
264365,1,391,519
265741,1,132,554
267475,1,224,518
268202,1,217,514
270684,1,166,773
271641,1,167,774
272328,1,167,780
273126,1,168,780
278826,1,263,751
280300,1,266,759
282094,1,256,777
284047,1,272,621
287146,1,32,477
289070,1,71,603
289857,1,67,604
293514,1,69,600
295358,1,47,628
299464,1,69,747
300192,1,67,740
302125,1,21,743
304517,1,42,750
308045,1,145,594
310905,1,64,506
311623,1,35,477
313138,1,205,628
314234,1,92,603
317951,1,163,686
318589,1,159,688
319994,1,159,693
323672,1,167,694
326512,1,363,546
329642,1,143,704
331685,1,194,823
333898,1,195,927
334835,1,193,928
338841,1,318,605
339599,1,317,606
342509,1,292,731
344213,1,335,730
346176,1,301,849
348786,1,361,841
352426,1,224,513
355316,1,1027,487
363230,1,1267,180
368143,1,503,250
374373,1,219,517
377921,1,180,631
380971,1,221,513
382964,1,54,485
384359,1,212,555
386592,1,164,580
388635,1,192,616
391088,1,333,577
393439,1,441,674
396289,1,338,697
397415,1,429,737
398970,1,442,758
400455,1,538,700
402368,1,549,786
404142,1,526,761
405756,1,416,782
407391,1,369,735
412046,1,48,894
414597,1,55,777
417180,1,46,577
421314,1,47,573
425501,1,191,685
428630,1,51,614
429786,1,51,619
432168,1,437,613
435637,1,367,710
438159,1,480,630
442704,1,433,610
445795,1,397,713
448036,1,393,717
450867,1,425,740
458382,1,428,736
459837,1,430,807
461263,1,370,804
462618,1,312,808
464722,1,325,920
465649,1,326,924
467582,1,223,860
469685,1,221,858
471569,1,300,928
472406,1,261,922
474070,1,289,807
478277,1,439,748
479134,1,406,689
480868,1,358,656
481676,1,473,632
486380,1,293,506
488732,1,312,714
491463,1,294,714
494204,1,350,753
497862,1,152,567
499267,1,28,457
503055,1,278,602
504769,1,170,651
505925,1,76,549
509025,1,86,672
521952,1,60,663
523028,1,63,672
525052,1,1025,486
527325,1,965,657
534790,1,749,616
536944,1,768,618
538488,1,777,622
540033,1,802,629
541768,1,830,624
549124,1,760,640
551516,1,762,753
552344,1,753,754
554626,1,786,767
556091,1,772,822
560357,1,758,638
563737,1,678,473
566747,1,763,580
571073,1,761,581
573904,1,874,685
575329,1,898,682
576784,1,902,678
578280,1,861,670
584739,1,891,541
586224,1,742,596
590251,1,850,724
591566,1,853,827
592234,1,859,831
595853,1,848,722
597417,1,846,720
598105,1,850,720
600378,1,687,582
601893,1,687,582
604285,1,769,852
607376,1,823,812
609638,1,823,812
610794,1,769,851
612927,1,863,728
615749,1,849,809
617244,1,878,810
622607,1,902,816
657872,1,662,248
658799,1,571,273
659995,1,598,225
660474,1,598,234
663115,1,502,264
676812,1,889,702
678365,1,735,745
679013,1,735,745
681057,1,764,846
681993,1,763,849
682342,1,767,849
684137,1,766,846
685303,1,768,847
686031,1,803,825
686462,1,807,825
688861,1,815,829
691702,1,926,841
696895,1,226,685
701859,1,665,269
702677,1,563,300
722064,1,141,458
726888,1,766,854
728495,1,766,855
731065,1,725,835
732430,1,899,722
733577,1,741,743
734951,1,684,682
738281,1,767,781
741510,1,769,781
742417,1,716,799
744969,1,689,682
747251,1,756,640
748148,1,802,642
751408,1,801,642
754129,1,829,577
754926,1,835,577
757678,1,842,580
758644,1,685,534
759362,1,683,530
760220,1,690,530
762224,1,673,471
763339,1,797,496
765084,1,1029,487
767087,1,892,696
768094,1,875,705
769021,1,877,710
769909,1,862,721
771802,1,835,735
782368,1,337,974
785159,1,218,457
787451,1,47,495
789524,1,51,493
791747,1,50,491
793702,1,96,637
795226,1,107,740
796622,1,126,794
798565,1,146,860
800897,1,20,602
804546,1,81,981
807426,1,72,473
809101,1,72,516
811054,1,71,658
812798,1,84,733
814423,1,85,786
816018,1,151,840
817971,1,172,782
819456,1,177,785
821490,1,169,905
825965,1,89,723
828747,1,230,818
831847,1,226,782
834149,1,221,807
836412,1,171,747
837787,1,205,799
839462,1,164,804
840449,1,191,787
844456,1,89,939
845881,1,89,942
847755,1,139,906
848712,1,149,875
851065,1,630,460
855053,1,128,730
858043,1,109,676
859299,1,141,649
860506,1,221,733
862809,1,251,699
863935,1,255,704
869766,1,148,529
873224,1,147,527
875976,1,220,484
877731,1,145,590
878907,1,153,598
880581,1,174,598
882276,1,186,583
884001,1,206,564
885346,1,232,531
887659,1,384,468
890330,1,327,554
892683,1,275,636
894787,1,337,742
896820,1,508,887
900568,1,376,647
905204,1,339,463
906779,1,333,518
907995,1,333,577
910228,1,329,534
915113,1,356,978
919469,1,290,506
924125,1,298,469
926059,1,527,526
928890,1,508,973
930345,1,535,469
934681,1,97,575
935598,1,106,578
937373,1,277,580
938928,1,281,581
940832,1,207,567
943324,1,160,546
944640,1,157,642
946016,1,125,533
948937,1,313,701
951050,1,382,615
952645,1,429,637
954260,1,556,684
956264,1,528,765
959145,1,495,812
962125,1,479,728
964617,1,477,787
966730,1,521,538
969261,1,571,701
971246,1,569,704
972401,1,595,526
974076,1,532,598
975720,1,459,501
976907,1,600,579
979259,1,578,615
980893,1,557,643
984332,1,575,683
986914,1,566,672
989147,1,562,670
990323,1,536,658
991898,1,535,658
993772,1,500,743
995118,1,470,739
996274,1,504,612
997400,1,502,613
999364,1,439,655
1000570,1,467,715
1003651,1,457,737
1006323,1,543,780
1008165,1,594,789
1009979,1,503,839
1012112,1,455,910
1014424,1,434,937
1018451,1,487,883
1023744,1,405,871
1025927,1,481,887
1028120,1,456,905
1030004,1,433,923
1037889,1,308,586
1039115,1,99,548
1040741,1,230,566
1044010,1,207,618
1045626,1,295,640
1047011,1,405,714
1048396,1,411,721
1051038,1,274,645
1052842,1,268,701
1055704,1,261,700
1061724,1,435,625
1063986,1,529,568
1065422,1,526,564
1066997,1,462,637
1068542,1,500,599
1076028,1,196,680
1080094,1,140,580
1081151,1,127,708
1083583,1,170,685
1085278,1,187,769
1087661,1,140,755
1091857,1,426,775
1093661,1,367,906
1095426,1,424,772
1097320,1,510,759
1098815,1,528,734
1100816,1,554,780
1104826,1,504,654
1107975,1,511,913
1111514,1,262,972
1115551,1,308,588
1117335,1,596,707
1120665,1,350,769
1121920,1,331,770
1124402,1,314,766
1128918,1,336,977
1138178,1,176,632
1140201,1,202,778
1142045,1,194,680
1149601,1,224,819
1151516,1,198,672
1152582,1,199,677
1157476,1,227,650
1159001,1,244,800
1161891,1,269,676
1164593,1,246,813
1167384,1,249,809
1169397,1,273,800
1170853,1,283,888
1175059,1,256,558
1177342,1,242,680
1180162,1,126,509
1181728,1,151,652
1204665,1,795,499
1206210,1,791,499
1210479,1,694,606
1212530,1,662,680
1213408,1,660,675
1215322,1,701,787
1217096,1,727,782
1218093,1,729,779
1220745,1,664,718
1221682,1,660,723
1225739,1,660,717
1228441,1,704,471
1230194,1,769,525
1231121,1,768,525
1233743,1,813,546
1236584,1,831,579
1238517,1,887,634
1240421,1,823,481
1242186,1,823,487
1247020,1,816,613
1249005,1,991,533
1250390,1,999,589
1251705,1,999,638
1253230,1,809,745
1255842,1,805,746
1259750,1,655,579
1262471,1,723,569
1263986,1,722,574
1264764,1,722,572
1265890,1,720,572
1268702,1,754,692
1271832,1,756,696
1274454,1,855,824
1275510,1,888,870
1280455,1,900,882
1285301,1,966,849
1287454,1,632,288
1288630,1,661,283
1289527,1,583,220
1310152,1,1081,979
1317499,1,638,250
1318795,1,663,247
1319991,1,580,301
1328036,1,985,983
1335393,1,972,485
1336589,1,1060,527
1337964,1,1122,500
1342151,1,1118,497
1346298,1,415,976
1350225,1,576,467
1373641,1,532,624
1376652,1,541,682
1380939,1,576,532
1392702,1,1150,631
1403797,1,607,261
1405332,1,663,260
1406160,1,586,289
1412290,1,646,279
1413207,1,661,281
1414353,1,567,337
1419257,1,830,981
1424671,1,866,464
1427352,1,870,674
1429416,1,888,775
1435127,1,897,627
1436443,1,752,576
1439893,1,766,690
1441518,1,797,683
1443840,1,753,576
1445614,1,782,601
1447658,1,791,680
1451437,1,728,703
1462760,1,239,978
1485777,1,373,977
1505126,1,370,978
1533556,1,350,976
1543235,1,642,304
1544013,1,661,300
1544870,1,578,269
1555606,1,431,982
1558577,1,461,505
1562206,1,410,488
1570420,1,967,974
1576621,1,1048,715
1581247,1,1043,714
1584238,1,1067,854
1585574,1,1095,902
1586881,1,1092,900
1589931,1,1080,792
1591915,1,1054,783
1595115,1,980,679
1596291,1,985,632
1599671,1,954,762
1600787,1,960,767
1602422,1,932,897
1616090,1,882,974
1623328,1,959,686
1625731,1,942,684
1629509,1,904,602
1633836,1,1011,984
1638791,1,1139,586
1641067,1,1110,661
1642949,1,1172,769
1644405,1,1172,775
1646239,1,1164,769
1646857,1,1165,766
1650576,1,1184,755
1655710,1,1049,635
1656846,1,949,616
1659967,1,909,712
1661352,1,892,709
1663436,1,873,691
1665210,1,859,638
1668141,1,833,760
1669018,1,830,764
1670733,1,830,764
1672976,1,801,736
1676425,1,801,738
1686236,1,621,213
1687392,1,661,212
1688389,1,569,264
1696354,1,503,490
1706334,1,900,987
1720720,1,678,455
1723501,1,951,977
1725376,1,902,524
1727648,1,931,518
1732483,1,934,619
1735425,1,1019,469
1741964,1,1163,486
1744865,1,975,479
1751804,1,841,876
1755173,1,941,773
1757785,1,729,462
1759042,1,738,449
1760646,1,882,452
1762181,1,829,512
1774423,1,1065,513
1781381,1,759,977
1783734,1,688,462
1802335,1,599,228
1803871,1,662,227
1804927,1,563,289
1806841,1,586,244
1808187,1,659,245
1809234,1,640,250
1810500,1,617,248
1811157,1,588,228
1812164,1,603,245
1813211,1,633,234
1816451,1,631,255
1819292,1,651,246
1819751,1,648,246
1819930,1,648,246
1820658,1,660,246
1821396,1,642,246
1822652,1,670,244
1823669,1,787,247
1824965,1,641,247
1826161,1,567,233
1830088,1,570,247
1834086,1,518,262
1844832,1,358,984
1846577,1,510,555
1852140,1,1067,973
1857174,1,662,265
1857812,1,570,295
1875658,1,343,991
1876614,1,287,966
1877731,1,286,975
1879615,1,297,982
1883384,1,311,977
1888518,1,646,282
