No.,Time,Duration,ScreenX,ScreenY,DurationString,DurationOptions
1,53,100,297,397,100,100
2,192,180,602,551,180,300
3,392,120,604,536,120,500
4,551,100,638,512,100,700
5,731,299,306,876,299,1000
6,1070,100,397,318,100,2000
7,1329,179,249,223,179,
8,1528,479,287,226,479,
9,2027,778,84,210,778,
10,3083,160,213,841,160,
11,3701,120,214,887,120,
12,3960,279,612,895,279,
13,4339,179,653,415,179,
14,4539,140,731,398,140,
15,4758,160,943,892,160,
16,4937,100,944,845,100,
17,5137,100,109,445,100,
18,5336,299,61,370,299,
19,5735,299,734,376,299,
20,6134,319,131,188,319,
21,6532,179,303,169,179,
22,6732,120,286,194,120,
23,6911,598,77,200,598,
24,7529,379,277,191,379,
25,7928,718,309,194,718,
26,8666,139,275,219,139,
27,9024,299,73,223,299,
28,9343,379,101,213,379,
29,9762,339,263,202,339,
30,10121,339,80,196,339,
31,10480,518,288,192,518,
32,11038,100,187,965,100,
33,11158,638,169,891,638,
34,11816,1276,269,874,1276,
35,13112,638,192,890,638,
36,13770,120,179,854,120,
37,13909,1037,168,835,1037,
38,15046,140,164,725,140,
39,15405,120,115,577,120,
40,15544,139,298,917,139,
41,15704,439,303,891,439,
42,16202,578,111,563,578,
43,16800,339,138,557,339,
44,17159,319,121,576,319,
45,17498,199,107,558,199,
46,17717,518,99,551,518,
47,18595,379,118,587,379,
48,18993,299,165,580,299,
49,19312,259,198,637,259,
50,19591,1037,178,643,1037,
51,20688,100,224,591,100,
52,20947,159,234,614,159,
53,21127,100,241,630,100,
54,21326,399,203,596,399,
55,21824,259,227,597,259,
56,22104,299,244,589,299,
57,22642,259,243,486,259,
58,22921,100,235,478,100,
59,23100,140,269,206,140,
60,23399,698,83,188,698,
61,24297,100,859,776,100,
62,24436,339,934,853,339,
63,24795,498,947,936,498,
64,25313,359,994,935,359,
65,25692,479,933,929,479,
66,26191,100,949,838,100,
67,26330,479,930,851,479,
68,26829,100,927,860,100,
69,26948,778,921,937,778,
70,27746,439,928,872,439,
71,28204,219,934,852,219,
72,28444,339,933,857,339,
73,28802,279,900,863,279,
74,29102,299,916,866,299,
75,29421,339,876,864,339,
76,29879,399,908,844,399,
77,30298,179,802,713,179,
78,30776,439,901,838,439,
79,31275,219,882,938,219,
80,31574,120,967,910,120,
81,31713,299,898,936,299,
82,32032,778,887,868,778,
83,32870,439,839,813,439,
84,33328,120,887,701,120,
85,33568,199,908,577,199,
86,33787,219,912,800,219,
87,34026,279,919,786,279,
88,34365,319,919,537,319,
89,34704,798,898,612,798,
90,35521,140,926,609,140,
91,35821,139,884,616,139,
92,36120,239,892,558,239,
93,36419,140,853,598,140,
94,36578,937,856,598,937,
95,37635,1216,956,604,1216,
96,38871,219,957,602,219,
97,39110,100,957,638,100,
98,39230,399,929,619,399,
99,39708,319,945,622,319,
100,40047,339,940,614,339,
101,40466,179,941,612,179,
102,40705,479,1025,514,479,
103,41263,359,941,627,359,
104,41642,140,927,622,140,
105,41802,439,920,629,439,
106,42320,419,1024,591,419,
107,42759,160,1066,579,160,
108,43038,279,919,628,279,
109,43337,379,895,625,379,
110,43756,159,1080,571,159,
111,44015,219,1135,574,219,
112,44493,100,986,594,100,
113,44673,219,880,630,219,
114,44952,339,227,602,339,
115,45410,319,267,583,319,
116,45769,120,259,585,120,
117,45909,219,261,585,219,
118,46148,239,263,586,239,
119,46467,479,170,591,479,
120,47185,140,224,597,140,
121,47484,478,82,196,478,
122,47982,179,103,176,179,
123,48242,379,236,489,379,
124,48640,279,169,381,279,
125,48939,219,48,368,219,
126,49179,179,112,384,179,
127,49378,140,89,365,140,
128,49557,160,689,405,160,
129,49737,120,714,384,120,
130,50136,180,135,171,180,
131,50335,180,114,192,180,
132,50534,618,74,196,618,
133,51232,179,146,609,179,
134,51431,180,75,548,180,
135,51731,180,254,488,180,
136,51930,299,173,598,299,
137,52269,140,103,201,140,
138,52428,399,102,191,399,
139,52847,319,280,193,319,
140,53186,120,311,202,120,
141,53326,279,205,556,279,
142,53625,180,168,611,180,
143,53824,379,169,616,379,
144,54223,738,90,536,738,
145,55020,100,300,223,100,
146,55140,159,323,179,159,
147,55319,419,296,194,419,
148,55898,319,873,520,319,
149,56336,120,788,482,120,
150,56476,120,794,496,120,
151,56675,100,872,614,100,
152,56795,120,869,616,120,
153,57173,140,934,457,140,
154,57333,140,936,469,140,
155,57493,518,949,472,518,
156,58031,120,945,474,120,
157,58170,718,969,942,718,
158,58908,199,995,933,199,
159,59127,339,933,933,339,
160,59486,319,921,930,319,
161,59825,439,975,928,439,
162,60284,319,1023,806,319,
163,60663,199,1092,770,199,
164,60962,120,1063,767,120,
165,61121,140,894,621,140,
