Time,L_ScreenX,L_ScreenY,L_CamX,L_CamY,L_Distance,L_Pupil,L_Code,R_ScreenX,R_ScreenY,R_CamX,R_CamY,R_Distance,R_Pupil,R_Code,Duration,ScreenX,ScreenY
53,363,527,0.72,0.573,738.8939999999999,2.9410000000000003,0,403,493,0.496,0.584,736.2539999999999,3.1639999999999997,0,100,297,397
192,228,903,0.6990000000000001,0.561,734.578,3.2089999999999996,0,205,889,0.47200000000000003,0.573,728.3739999999999,3.293,0,180,602,551
392,265,198,0.7040000000000001,0.557,732.6610000000001,3.108,0,294,183,0.474,0.569,723.137,3.248,0,120,604,536
551,267,227,0.6940000000000001,0.557,731.9860000000001,3.045,0,290,225,0.46399999999999997,0.573,725.4019999999999,3.1510000000000002,0,100,638,512
731,177,846,0.701,0.5660000000000001,724.643,3.2089999999999996,0,159,844,0.47,0.581,719.052,3.333,0,299,306,876
1070,165,569,0.698,0.5670000000000001,717.1460000000001,3.031,0,193,586,0.466,0.5820000000000001,714.5980000000001,3.113,0,100,397,318
1329,930,849,0.654,0.568,709.686,3.22,0,925,839,0.42100000000000004,0.596,710.92,3.23,0,179,249,223
1528,796,708,0.654,0.569,702.965,3.028,0,803,706,0.42100000000000004,0.596,705.99,3.1719999999999997,0,479,287,226
2027,947,617,0.628,0.57,702.7339999999999,3.162,0,935,646,0.39299999999999996,0.603,702.421,3.2689999999999997,0,778,84,210
3083,897,467,0.627,0.561,707.2280000000001,2.998,0,902,495,0.39299999999999996,0.595,705.3489999999999,3.072,0,160,213,841
3701,114,511,0.708,0.564,719.539,3.0580000000000003,0,120,523,0.475,0.569,707.183,3.1460000000000004,0,120,214,887
3960,241,502,0.7090000000000001,0.563,706.55,3.0469999999999997,0,242,464,0.474,0.57,699.378,3.17,0,279,612,895
4339,156,744,0.713,0.57,713.416,3.194,0,148,723,0.478,0.575,702.937,3.315,0,179,653,415
4539,485,494,0.703,0.5670000000000001,705.65,2.908,0,473,488,0.467,0.5760000000000001,696.0980000000001,3.053,0,140,731,398
4758,891,436,0.614,0.551,707.257,2.93,0,880,468,0.382,0.5770000000000001,711.573,3.014,0,160,943,892
4937,98,255,0.6829999999999999,0.552,726.0,3.0860000000000003,0,118,242,0.451,0.562,714.0039999999999,3.2119999999999997,0,100,944,845
5137,0,493,0.711,0.568,721.1669999999999,3.049,0,53,482,0.47700000000000004,0.5720000000000001,711.697,3.201,0,100,109,445
5336,41,619,0.726,0.5770000000000001,721.2919999999999,3.2230000000000003,0,60,608,0.493,0.574,707.809,3.2880000000000003,0,299,61,370
5735,117,700,0.73,0.586,714.184,3.043,0,133,702,0.496,0.5820000000000001,702.209,3.263,0,299,734,376
6134,217,757,0.7240000000000001,0.591,704.697,3.1260000000000003,0,213,772,0.488,0.589,695.2539999999999,3.178,0,319,131,188
6532,398,651,0.6970000000000001,0.583,699.1010000000001,3.1069999999999998,0,417,632,0.45899999999999996,0.59,692.79,3.094,0,179,303,169
6732,405,747,0.6940000000000001,0.594,694.837,3.0669999999999997,0,417,765,0.45399999999999996,0.601,688.311,3.2230000000000003,0,120,286,194
6911,289,202,0.69,0.5720000000000001,716.663,2.989,0,303,181,0.45399999999999996,0.5820000000000001,705.357,3.032,0,598,77,200
7529,-7,228,0.67,0.5660000000000001,720.581,2.97,0,19,189,0.435,0.58,713.9639999999999,3.0810000000000004,0,379,277,191
7928,1077,675,0.588,0.5760000000000001,705.064,3.012,0,1072,674,0.35600000000000004,0.615,707.553,3.0780000000000003,0,718,309,194
9024,1003,657,0.63,0.5770000000000001,700.36,3.07,0,1004,632,0.392,0.607,697.5930000000001,3.014,0,299,73,223
9343,442,649,0.669,0.568,704.5889999999999,2.867,0,418,677,0.433,0.588,698.562,3.0869999999999997,0,379,101,213
