Time,Event_Key,ASCII_code
226353,3,78
226460,3,79
226887,3,8
227323,3,8
227575,3,160
227626,3,78
228425,3,79
1828802,3,162
1829301,3,162
1829339,3,162
1829367,3,67
1830538,3,162
1830702,3,86
2681521,3,161
2681664,3,86
2682280,3,79
2682758,3,8
2682939,3,8
2683625,3,161
2683779,3,66
2684002,3,79
2684213,3,86
2684311,3,73
2684749,3,8
2684914,3,8
2685075,3,8
2685240,3,8
2686146,3,161
2686305,3,66
2686772,3,79
2686987,3,86
2687084,3,73
2687264,3,78
2687383,3,69
2688477,3,160
2688636,3,189
2689162,3,161
2689296,3,83
2689767,3,80
2690419,3,8
2690564,3,8
2690708,3,83
2690873,3,80
2691142,3,69
2691424,3,67
2691526,3,73
2691693,3,69
2691858,3,83
2693018,3,9
2695012,3,161
2695171,3,66
2695600,3,79
2696278,3,86
2696514,3,73
2696699,3,68
2696898,3,65
2697367,3,69
2795549,3,160
2795829,3,78
2796083,3,69
2796228,3,77
2796330,3,65
2796908,3,84
2797028,3,79
2797143,3,68
2797329,3,69
2797765,3,9
2799667,3,160
2799818,3,78
2800007,3,69
2800168,3,77
2800254,3,65
2800565,3,84
2800735,3,79
2800861,3,68
2801072,3,69
2801204,3,83
2901735,3,161
2901844,3,84
2901974,3,72
2902102,3,73
2902235,3,78
2902666,3,71
2903185,3,9
2903821,3,161
2903905,3,84
2904102,3,72
2904259,3,73
2904358,3,78
2904527,3,71
2922765,3,20
2923171,3,83
2923316,3,78
2923469,3,79
2924830,3,77
2924933,3,69
2925161,3,68
2925707,3,160
2925825,3,189
2926344,3,67
2926673,3,84
2927587,3,160
2927671,3,189
2928066,3,20
2928506,3,161
2928586,3,67
2928833,3,79
2928934,3,78
2929118,3,67
2929304,3,69
2929448,3,80
2929576,3,84
2930604,3,160
2930717,3,189
2931359,3,20
2932155,3,83
2932262,3,78
2932417,3,79
2932629,3,77
2932732,3,69
2932943,3,68
2934402,3,160
2934515,3,189
2935453,3,82
2935702,3,84
2936680,3,160
2936882,3,187
2938196,3,67
2938442,3,84
2938704,3,86
2939054,3,51
2939751,3,9
2942081,3,20
2942893,3,160
2943019,3,79
2943192,3,82
2944091,3,71
2944193,3,65
2944356,3,78
2944501,3,73
2944820,3,83
2945011,3,77
2945897,3,160
2946040,3,189
2946528,3,160
2946679,3,75
2946921,3,73
2947013,3,78
2947164,3,68
2956433,3,160
2956517,3,79
2956627,3,82
2956930,3,71
2957074,3,65
2957794,3,78
2957904,3,73
2958082,3,83
2958201,3,77
2974213,3,160
2974314,3,79
2974511,3,82
2974755,3,71
2974866,3,65
2975028,3,78
2975188,3,73
2977124,3,83
2978551,3,77
2978670,3,65
2978769,3,76
