Time,Event_Key,ASCII_code
122170,3,162
122669,3,162
122707,3,162
122745,3,162
122784,3,162
122823,3,162
122861,3,162
122899,3,162
122937,3,162
122977,3,162
123014,3,162
123053,3,162
123091,3,162
123138,3,162
123166,3,67
123954,3,162
124121,3,86
487949,3,162
488258,3,67
489200,3,162
489342,3,86
537483,3,161
537575,3,84
537722,3,72
537871,3,73
537983,3,78
538277,3,71
538667,3,9
539136,3,161
539237,3,84
539374,3,72
539577,3,73
539707,3,78
539891,3,71
540355,3,9
547527,3,160
547661,3,80
547798,3,69
547901,3,82
548088,3,83
548182,3,79
548285,3,78
549664,3,9
550274,3,160
550392,3,80
550547,3,69
550672,3,82
550839,3,83
550941,3,79
551036,3,78
560423,3,8
560605,3,8
560749,3,8
560910,3,8
561059,3,8
561220,3,8
561401,3,8
565897,3,8
579454,3,161
579539,3,69
580268,3,86
580421,3,69
580540,3,78
580655,3,84
580945,3,9
581431,3,161
581482,3,69
581962,3,86
582119,3,69
582229,3,78
582346,3,84
595758,3,160
595834,3,79
595965,3,82
596397,3,71
596558,3,65
596689,3,78
596855,3,73
597657,3,90
597959,3,65
598378,3,84
598439,3,73
598553,3,79
598648,3,78
599090,3,9
599630,3,79
600299,3,8
600568,3,160
600702,3,79
601090,3,8
601259,3,8
601445,3,160
601546,3,79
601730,3,82
602823,3,71
602968,3,65
603145,3,78
603356,3,73
603559,3,90
603774,3,65
603943,3,84
604055,3,73
604164,3,79
604250,3,78
